InclusionExclusionID,Type,Title,Description,RuleText,JurisdictionState,EffectiveFrom,EffectiveTo,FID_LineOfBusiness
20,INCLUSION,Roadside Assistance,"Covers emergency roadside services such as towing, jump start, lockout, and tire change assistance.","Roadside assistance applies to covered vehicles when service is needed due to disablement, subject to plan limits.",ALL,"Jan 01, 2020",,LOB003
21,EXCLUSION,Commercial Delivery Use,"Excludes claims while the personal auto is used for livery, delivery, or compensated transport.","No coverage applies while the vehicle is used to carry persons or property for a fee unless endorsed.",ALL,"Jan 01, 2020",,LOB003
22,EXCLUSION,Racing or Track Use,"Excludes losses during racing, track events, speed trials, or organized performance driving.","No coverage applies while the auto is used in any racing, speed, timed, or performance event.",ALL,"Jan 01, 2020",,LOB003
23,EXCLUSION,Intentional Loss,"Excludes loss intentionally caused by or at the direction of an insured person.","No coverage applies to any loss expected or intended by an insured, even if the resulting damage is different than expected.",ALL,"Jan 01, 2020",,LOB003
24,EXCLUSION,Unlisted Regular Driver,"Excludes coverage where a regular operator is not disclosed or rated on the policy.","Coverage may be denied when the vehicle is regularly operated by an undisclosed household member or customary driver.",NY,"Jan 01, 2020",,LOB003
25,INCLUSION,Dwelling Protection,"Covers the residence structure and attached components against covered causes of loss.","Dwelling coverage applies to the insured residence premises, attached structures, and covered building materials.",ALL,"Jan 01, 2020",,LOB004
26,INCLUSION,Personal Property,"Covers household contents and personal belongings owned or used by an insured.","Personal property is covered worldwide, subject to special limits, exclusions, and valuation provisions.",ALL,"Jan 01, 2020",,LOB004
27,INCLUSION,Loss of Use,"Covers additional living expenses when the residence is uninhabitable due to covered damage.","Loss of use coverage applies when a covered loss makes the residence premises unfit to live in.",ALL,"Jan 01, 2020",,LOB004
28,INCLUSION,Personal Liability,"Covers personal liability claims for bodily injury or property damage caused by an insured.","Personal liability coverage applies to covered occurrences, subject to exclusions and policy limits.",ALL,"Jan 01, 2020",,LOB004
29,EXCLUSION,Flood Damage,"Excludes damage caused by flood, surface water, storm surge, or overflow of a body of water.","No coverage applies to flood or surface water damage unless a flood endorsement or separate flood policy applies.",FL,"Jan 01, 2020",,LOB004
30,EXCLUSION,Earthquake Damage,"Excludes damage caused by earthquake, tremor, landslide, or earth sinking and shifting.","No coverage applies to earth movement loss unless earthquake coverage is specifically endorsed.",CA,"Jan 01, 2020",,LOB004
31,EXCLUSION,Wear and Deterioration,"Excludes gradual wear, deterioration, rot, corrosion, settling, cracking, and maintenance-related damage.","No coverage applies to loss caused by wear and tear, neglect, defective maintenance, or gradual deterioration.",ALL,"Jan 01, 2020",,LOB004
32,EXCLUSION,Business Activity Liability,"Excludes liability arising from business activities conducted by an insured at the residence.","No coverage applies to bodily injury or property damage arising from business pursuits unless specifically endorsed.",ALL,"Jan 01, 2020",,LOB004
