CoverageID,CoverageCode,CoverageName,CoverageDescription,FID_CoverageCategory,DefaultLimitType,DefaultDeductibleType,MinimumLimitAmount,MaximumLimitAmount,DefaultLimitAmount,MinimumDeductibleAmount,MaximumDeductibleAmount,DefaultDeductibleAmount,CoinsurancePercentage,WaitingPeriodDays,AggregateLimitIndicator,OccurrenceLimitIndicator,EffectiveFrom,EffectiveTo,FID_InsurancePlan
COV023,AUTO-HNO-EXCESS-ENH-LIAB,Hired and Non-Owned Excess Liability Core Liability Coverage,"Provides enhanced third-party liability protection for covered auto claims, including bodily injury and property damage obligations.",1,COMBINED_SINGLE_LIMIT,FLAT,100000,5000000,1000000,0,2500,0,0,0,FALSE,TRUE,"Jan 01, 2020",,PL012
COV024,AUTO-HNO-EXCESS-ENH-PD,Hired and Non-Owned Excess Liability Vehicle Damage Coverage,"Covers enhanced repair or replacement exposure for covered vehicles, subject to plan terms and deductible rules.",2,PER_OCCURRENCE,FLAT,25000,1000000,250000,250,5000,500,0,0,FALSE,TRUE,"Jan 01, 2020",,PL012
COV025,AUTO-TRUCK-LIAB-STD-LIAB,Trucking Liability Core Liability Coverage,"Provides standard third-party liability protection for covered auto claims, including bodily injury and property damage obligations.",1,COMBINED_SINGLE_LIMIT,FLAT,100000,5000000,500000,0,2500,0,0,0,FALSE,TRUE,"Jan 01, 2020",,PL013
COV026,AUTO-TRUCK-LIAB-STD-PD,Trucking Liability Vehicle Damage Coverage,"Covers standard repair or replacement exposure for covered vehicles, subject to plan terms and deductible rules.",2,PER_OCCURRENCE,FLAT,25000,1000000,100000,250,5000,1000,0,0,FALSE,TRUE,"Jan 01, 2020",,PL013
COV027,AUTO-TRUCK-LIAB-ENH-LIAB,Trucking Liability Core Liability Coverage,"Provides enhanced third-party liability protection for covered auto claims, including bodily injury and property damage obligations.",1,COMBINED_SINGLE_LIMIT,FLAT,100000,5000000,1000000,0,2500,0,0,0,FALSE,TRUE,"Jan 01, 2020",,PL014
COV028,AUTO-TRUCK-LIAB-ENH-PD,Trucking Liability Vehicle Damage Coverage,"Covers enhanced repair or replacement exposure for covered vehicles, subject to plan terms and deductible rules.",2,PER_OCCURRENCE,FLAT,25000,1000000,250000,250,5000,500,0,0,FALSE,TRUE,"Jan 01, 2020",,PL014
COV029,AUTO-TRUCK-CARGO-STD-LIAB,Truckers Cargo Coverage Core Liability Coverage,"Provides standard third-party liability protection for covered auto claims, including bodily injury and property damage obligations.",1,COMBINED_SINGLE_LIMIT,FLAT,100000,5000000,500000,0,2500,0,0,0,FALSE,TRUE,"Jan 01, 2020",,PL015
COV030,AUTO-TRUCK-CARGO-STD-PD,Truckers Cargo Coverage Vehicle Damage Coverage,"Covers standard repair or replacement exposure for covered vehicles, subject to plan terms and deductible rules.",2,PER_OCCURRENCE,FLAT,25000,1000000,100000,250,5000,1000,0,0,FALSE,TRUE,"Jan 01, 2020",,PL015
COV031,AUTO-TRUCK-CARGO-ENH-LIAB,Truckers Cargo Coverage Core Liability Coverage,"Provides enhanced third-party liability protection for covered auto claims, including bodily injury and property damage obligations.",1,COMBINED_SINGLE_LIMIT,FLAT,100000,5000000,1000000,0,2500,0,0,0,FALSE,TRUE,"Jan 01, 2020",,PL016
COV032,AUTO-TRUCK-CARGO-ENH-PD,Truckers Cargo Coverage Vehicle Damage Coverage,"Covers enhanced repair or replacement exposure for covered vehicles, subject to plan terms and deductible rules.",2,PER_OCCURRENCE,FLAT,25000,1000000,250000,250,5000,500,0,0,FALSE,TRUE,"Jan 01, 2020",,PL016
COV033,PROP-BLDG-BASIC-STD-PROP,Building Basic Perils Covered Property Coverage,"Protects covered commercial property under the standard plan, including scheduled buildings or business personal property.",3,PER_OCCURRENCE,FLAT,50000,5000000,500000,500,25000,2500,0.8,0,FALSE,TRUE,"Jan 01, 2020",,PL017
COV034,PROP-BLDG-BASIC-STD-BI,Building Basic Perils Income Protection Coverage,"Addresses standard income loss and extra expense exposure after covered property damage, subject to policy conditions.",4,AGGREGATE,FRANCHISE,10000,1000000,100000,0,0,0,0.8,3,TRUE,FALSE,"Jan 01, 2020",,PL017
COV035,PROP-BLDG-BASIC-ENH-PROP,Building Basic Perils Covered Property Coverage,"Protects covered commercial property under the enhanced plan, including scheduled buildings or business personal property.",3,PER_OCCURRENCE,FLAT,50000,5000000,1000000,500,25000,1000,0.8,0,FALSE,TRUE,"Jan 01, 2020",,PL018
COV036,PROP-BLDG-BASIC-ENH-BI,Building Basic Perils Income Protection Coverage,"Addresses enhanced income loss and extra expense exposure after covered property damage, subject to policy conditions.",4,AGGREGATE,FRANCHISE,10000,1000000,250000,0,0,0,0.8,1,TRUE,FALSE,"Jan 01, 2020",,PL018
COV037,PROP-BLDG-SPEC-STD-PROP,Building Special Perils Covered Property Coverage,"Protects covered commercial property under the standard plan, including scheduled buildings or business personal property.",3,PER_OCCURRENCE,FLAT,50000,5000000,500000,500,25000,2500,0.8,0,FALSE,TRUE,"Jan 01, 2020",,PL019
COV038,PROP-BLDG-SPEC-STD-BI,Building Special Perils Income Protection Coverage,"Addresses standard income loss and extra expense exposure after covered property damage, subject to policy conditions.",4,AGGREGATE,FRANCHISE,10000,1000000,100000,0,0,0,0.8,3,TRUE,FALSE,"Jan 01, 2020",,PL019
COV039,PROP-BLDG-SPEC-ENH-PROP,Building Special Perils Covered Property Coverage,"Protects covered commercial property under the enhanced plan, including scheduled buildings or business personal property.",3,PER_OCCURRENCE,FLAT,50000,5000000,1000000,500,25000,1000,0.8,0,FALSE,TRUE,"Jan 01, 2020",,PL020
COV040,PROP-BLDG-SPEC-ENH-BI,Building Special Perils Income Protection Coverage,"Addresses enhanced income loss and extra expense exposure after covered property damage, subject to policy conditions.",4,AGGREGATE,FRANCHISE,10000,1000000,250000,0,0,0,0.8,1,TRUE,FALSE,"Jan 01, 2020",,PL020
COV041,PROP-BPP-CONT-STD-PROP,Business Contents Coverage Covered Property Coverage,"Protects covered commercial property under the standard plan, including scheduled buildings or business personal property.",3,PER_OCCURRENCE,FLAT,50000,5000000,500000,500,25000,2500,0.8,0,FALSE,TRUE,"Jan 01, 2020",,PL021
COV042,PROP-BPP-CONT-STD-BI,Business Contents Coverage Income Protection Coverage,"Addresses standard income loss and extra expense exposure after covered property damage, subject to policy conditions.",4,AGGREGATE,FRANCHISE,10000,1000000,100000,0,0,0,0.8,3,TRUE,FALSE,"Jan 01, 2020",,PL021
COV043,PROP-BPP-CONT-ENH-PROP,Business Contents Coverage Covered Property Coverage,"Protects covered commercial property under the enhanced plan, including scheduled buildings or business personal property.",3,PER_OCCURRENCE,FLAT,50000,5000000,1000000,500,25000,1000,0.8,0,FALSE,TRUE,"Jan 01, 2020",,PL022
COV044,PROP-BPP-CONT-ENH-BI,Business Contents Coverage Income Protection Coverage,"Addresses enhanced income loss and extra expense exposure after covered property damage, subject to policy conditions.",4,AGGREGATE,FRANCHISE,10000,1000000,250000,0,0,0,0.8,1,TRUE,FALSE,"Jan 01, 2020",,PL022
COV045,PROP-BPP-EQUIP-STD-PROP,Business Equipment Coverage Covered Property Coverage,"Protects covered commercial property under the standard plan, including scheduled buildings or business personal property.",3,PER_OCCURRENCE,FLAT,50000,5000000,500000,500,25000,2500,0.8,0,FALSE,TRUE,"Jan 01, 2020",,PL023
COV046,PROP-BPP-EQUIP-STD-BI,Business Equipment Coverage Income Protection Coverage,"Addresses standard income loss and extra expense exposure after covered property damage, subject to policy conditions.",4,AGGREGATE,FRANCHISE,10000,1000000,100000,0,0,0,0.8,3,TRUE,FALSE,"Jan 01, 2020",,PL023
COV047,PROP-BPP-EQUIP-ENH-PROP,Business Equipment Coverage Covered Property Coverage,"Protects covered commercial property under the enhanced plan, including scheduled buildings or business personal property.",3,PER_OCCURRENCE,FLAT,50000,5000000,1000000,500,25000,1000,0.8,0,FALSE,TRUE,"Jan 01, 2020",,PL024
COV048,PROP-BPP-EQUIP-ENH-BI,Business Equipment Coverage Income Protection Coverage,"Addresses enhanced income loss and extra expense exposure after covered property damage, subject to policy conditions.",4,AGGREGATE,FRANCHISE,10000,1000000,250000,0,0,0,0.8,1,TRUE,FALSE,"Jan 01, 2020",,PL024
COV049,PROP-BI-INCOME-STD-PROP,Business Income Coverage Covered Property Coverage,"Protects covered commercial property under the standard plan, including scheduled buildings or business personal property.",3,PER_OCCURRENCE,FLAT,50000,5000000,500000,500,25000,2500,0.8,0,FALSE,TRUE,"Jan 01, 2020",,PL025
COV050,PROP-BI-INCOME-STD-BI,Business Income Coverage Income Protection Coverage,"Addresses standard income loss and extra expense exposure after covered property damage, subject to policy conditions.",4,AGGREGATE,FRANCHISE,10000,1000000,100000,0,0,0,0.8,3,TRUE,FALSE,"Jan 01, 2020",,PL025
COV051,PROP-BI-INCOME-ENH-PROP,Business Income Coverage Covered Property Coverage,"Protects covered commercial property under the enhanced plan, including scheduled buildings or business personal property.",3,PER_OCCURRENCE,FLAT,50000,5000000,1000000,500,25000,1000,0.8,0,FALSE,TRUE,"Jan 01, 2020",,PL026
COV052,PROP-BI-INCOME-ENH-BI,Business Income Coverage Income Protection Coverage,"Addresses enhanced income loss and extra expense exposure after covered property damage, subject to policy conditions.",4,AGGREGATE,FRANCHISE,10000,1000000,250000,0,0,0,0.8,1,TRUE,FALSE,"Jan 01, 2020",,PL026
COV053,PROP-BI-EXTRA-STD-PROP,Extra Expense Coverage Covered Property Coverage,"Protects covered commercial property under the standard plan, including scheduled buildings or business personal property.",3,PER_OCCURRENCE,FLAT,50000,5000000,500000,500,25000,2500,0.8,0,FALSE,TRUE,"Jan 01, 2020",,PL027
COV054,PROP-BI-EXTRA-STD-BI,Extra Expense Coverage Income Protection Coverage,"Addresses standard income loss and extra expense exposure after covered property damage, subject to policy conditions.",4,AGGREGATE,FRANCHISE,10000,1000000,100000,0,0,0,0.8,3,TRUE,FALSE,"Jan 01, 2020",,PL027
COV055,PROP-BI-EXTRA-ENH-PROP,Extra Expense Coverage Covered Property Coverage,"Protects covered commercial property under the enhanced plan, including scheduled buildings or business personal property.",3,PER_OCCURRENCE,FLAT,50000,5000000,1000000,500,25000,1000,0.8,0,FALSE,TRUE,"Jan 01, 2020",,PL028
COV056,PROP-BI-EXTRA-ENH-BI,Extra Expense Coverage Income Protection Coverage,"Addresses enhanced income loss and extra expense exposure after covered property damage, subject to policy conditions.",4,AGGREGATE,FRANCHISE,10000,1000000,250000,0,0,0,0.8,1,TRUE,FALSE,"Jan 01, 2020",,PL028
COV057,PROP-SPEC-ALLRISK-STD-PROP,Special Form All Risk Property Covered Property Coverage,"Protects covered commercial property under the standard plan, including scheduled buildings or business personal property.",3,PER_OCCURRENCE,FLAT,50000,5000000,500000,500,25000,2500,0.8,0,FALSE,TRUE,"Jan 01, 2020",,PL029
COV058,PROP-SPEC-ALLRISK-STD-BI,Special Form All Risk Property Income Protection Coverage,"Addresses standard income loss and extra expense exposure after covered property damage, subject to policy conditions.",4,AGGREGATE,FRANCHISE,10000,1000000,100000,0,0,0,0.8,3,TRUE,FALSE,"Jan 01, 2020",,PL029
COV059,PROP-SPEC-ALLRISK-ENH-PROP,Special Form All Risk Property Covered Property Coverage,"Protects covered commercial property under the enhanced plan, including scheduled buildings or business personal property.",3,PER_OCCURRENCE,FLAT,50000,5000000,1000000,500,25000,1000,0.8,0,FALSE,TRUE,"Jan 01, 2020",,PL030
COV060,PROP-SPEC-ALLRISK-ENH-BI,Special Form All Risk Property Income Protection Coverage,"Addresses enhanced income loss and extra expense exposure after covered property damage, subject to policy conditions.",4,AGGREGATE,FRANCHISE,10000,1000000,250000,0,0,0,0.8,1,TRUE,FALSE,"Jan 01, 2020",,PL030
COV061,PROP-SPEC-CAT-STD-PROP,Special Form Catastrophe Extension Covered Property Coverage,"Protects covered commercial property under the standard plan, including scheduled buildings or business personal property.",3,AGGREGATE,PERCENTAGE,50000,5000000,500000,1,5,2,0.8,0,TRUE,FALSE,"Jan 01, 2020",,PL031
COV062,PROP-SPEC-CAT-STD-BI,Special Form Catastrophe Extension Income Protection Coverage,"Addresses standard income loss and extra expense exposure after covered property damage, subject to policy conditions.",4,AGGREGATE,FRANCHISE,10000,1000000,100000,0,0,0,0.8,3,TRUE,FALSE,"Jan 01, 2020",,PL031
COV063,PROP-SPEC-CAT-ENH-PROP,Special Form Catastrophe Extension Covered Property Coverage,"Protects covered commercial property under the enhanced plan, including scheduled buildings or business personal property.",3,AGGREGATE,PERCENTAGE,50000,5000000,1000000,1,5,1,0.8,0,TRUE,FALSE,"Jan 01, 2020",,PL032
COV064,PROP-SPEC-CAT-ENH-BI,Special Form Catastrophe Extension Income Protection Coverage,"Addresses enhanced income loss and extra expense exposure after covered property damage, subject to policy conditions.",4,AGGREGATE,FRANCHISE,10000,1000000,250000,0,0,0,0.8,1,TRUE,FALSE,"Jan 01, 2020",,PL032
COV065,PA-STD-LIAB-STD-LIAB,Personal Auto Liability Core Liability Coverage,"Provides standard third-party liability protection for covered auto claims, including bodily injury and property damage obligations.",1,COMBINED_SINGLE_LIMIT,FLAT,100000,5000000,500000,0,2500,0,0,0,FALSE,TRUE,"Jan 01, 2020",,PL033
COV066,PA-STD-LIAB-STD-PD,Personal Auto Liability Vehicle Damage Coverage,"Covers standard repair or replacement exposure for covered vehicles, subject to plan terms and deductible rules.",2,PER_OCCURRENCE,FLAT,25000,1000000,100000,250,5000,1000,0,0,FALSE,TRUE,"Jan 01, 2020",,PL033
COV067,PA-STD-LIAB-ENH-LIAB,Personal Auto Liability Core Liability Coverage,"Provides enhanced third-party liability protection for covered auto claims, including bodily injury and property damage obligations.",1,COMBINED_SINGLE_LIMIT,FLAT,100000,5000000,1000000,0,2500,0,0,0,FALSE,TRUE,"Jan 01, 2020",,PL034
COV068,PA-STD-LIAB-ENH-PD,Personal Auto Liability Vehicle Damage Coverage,"Covers enhanced repair or replacement exposure for covered vehicles, subject to plan terms and deductible rules.",2,PER_OCCURRENCE,FLAT,25000,1000000,250000,250,5000,500,0,0,FALSE,TRUE,"Jan 01, 2020",,PL034
COV069,PA-STD-PD-STD-LIAB,Personal Auto Physical Damage Core Liability Coverage,"Provides standard third-party liability protection for covered auto claims, including bodily injury and property damage obligations.",1,COMBINED_SINGLE_LIMIT,FLAT,100000,5000000,500000,0,2500,0,0,0,FALSE,TRUE,"Jan 01, 2020",,PL035
COV070,PA-STD-PD-STD-PD,Personal Auto Physical Damage Vehicle Damage Coverage,"Covers standard repair or replacement exposure for covered vehicles, subject to plan terms and deductible rules.",2,PER_OCCURRENCE,FLAT,25000,1000000,100000,250,5000,1000,0,0,FALSE,TRUE,"Jan 01, 2020",,PL035
COV071,PA-STD-PD-ENH-LIAB,Personal Auto Physical Damage Core Liability Coverage,"Provides enhanced third-party liability protection for covered auto claims, including bodily injury and property damage obligations.",1,COMBINED_SINGLE_LIMIT,FLAT,100000,5000000,1000000,0,2500,0,0,0,FALSE,TRUE,"Jan 01, 2020",,PL036
COV072,PA-STD-PD-ENH-PD,Personal Auto Physical Damage Vehicle Damage Coverage,"Covers enhanced repair or replacement exposure for covered vehicles, subject to plan terms and deductible rules.",2,PER_OCCURRENCE,FLAT,25000,1000000,250000,250,5000,500,0,0,FALSE,TRUE,"Jan 01, 2020",,PL036
COV073,PA-PREF-LIAB-STD-LIAB,Preferred Auto Liability Core Liability Coverage,"Provides standard third-party liability protection for covered auto claims, including bodily injury and property damage obligations.",1,COMBINED_SINGLE_LIMIT,FLAT,100000,5000000,500000,0,2500,0,0,0,FALSE,TRUE,"Jan 01, 2020",,PL037
COV074,PA-PREF-LIAB-STD-PD,Preferred Auto Liability Vehicle Damage Coverage,"Covers standard repair or replacement exposure for covered vehicles, subject to plan terms and deductible rules.",2,PER_OCCURRENCE,FLAT,25000,1000000,100000,250,5000,1000,0,0,FALSE,TRUE,"Jan 01, 2020",,PL037
COV075,PA-PREF-LIAB-ENH-LIAB,Preferred Auto Liability Core Liability Coverage,"Provides enhanced third-party liability protection for covered auto claims, including bodily injury and property damage obligations.",1,COMBINED_SINGLE_LIMIT,FLAT,100000,5000000,1000000,0,2500,0,0,0,FALSE,TRUE,"Jan 01, 2020",,PL038
COV076,PA-PREF-LIAB-ENH-PD,Preferred Auto Liability Vehicle Damage Coverage,"Covers enhanced repair or replacement exposure for covered vehicles, subject to plan terms and deductible rules.",2,PER_OCCURRENCE,FLAT,25000,1000000,250000,250,5000,500,0,0,FALSE,TRUE,"Jan 01, 2020",,PL038
COV077,PA-PREF-COMP-STD-LIAB,Preferred Auto Comprehensive Core Liability Coverage,"Provides standard third-party liability protection for covered auto claims, including bodily injury and property damage obligations.",1,COMBINED_SINGLE_LIMIT,FLAT,100000,5000000,500000,0,2500,0,0,0,FALSE,TRUE,"Jan 01, 2020",,PL039
COV078,PA-PREF-COMP-STD-PD,Preferred Auto Comprehensive Vehicle Damage Coverage,"Covers standard repair or replacement exposure for covered vehicles, subject to plan terms and deductible rules.",2,PER_OCCURRENCE,FLAT,25000,1000000,100000,250,5000,1000,0,0,FALSE,TRUE,"Jan 01, 2020",,PL039
COV079,PA-PREF-COMP-ENH-LIAB,Preferred Auto Comprehensive Core Liability Coverage,"Provides enhanced third-party liability protection for covered auto claims, including bodily injury and property damage obligations.",1,COMBINED_SINGLE_LIMIT,FLAT,100000,5000000,1000000,0,2500,0,0,0,FALSE,TRUE,"Jan 01, 2020",,PL040
COV080,PA-PREF-COMP-ENH-PD,Preferred Auto Comprehensive Vehicle Damage Coverage,"Covers enhanced repair or replacement exposure for covered vehicles, subject to plan terms and deductible rules.",2,PER_OCCURRENCE,FLAT,25000,1000000,250000,250,5000,500,0,0,FALSE,TRUE,"Jan 01, 2020",,PL040
COV081,PA-NONSTD-LIAB-STD-LIAB,Non-Standard Auto Liability Core Liability Coverage,"Provides standard third-party liability protection for covered auto claims, including bodily injury and property damage obligations.",1,COMBINED_SINGLE_LIMIT,FLAT,100000,5000000,500000,0,2500,0,0,0,FALSE,TRUE,"Jan 01, 2020",,PL041
COV082,PA-NONSTD-LIAB-STD-PD,Non-Standard Auto Liability Vehicle Damage Coverage,"Covers standard repair or replacement exposure for covered vehicles, subject to plan terms and deductible rules.",2,PER_OCCURRENCE,FLAT,25000,1000000,100000,250,5000,1000,0,0,FALSE,TRUE,"Jan 01, 2020",,PL041
COV083,PA-NONSTD-LIAB-ENH-LIAB,Non-Standard Auto Liability Core Liability Coverage,"Provides enhanced third-party liability protection for covered auto claims, including bodily injury and property damage obligations.",1,COMBINED_SINGLE_LIMIT,FLAT,100000,5000000,1000000,0,2500,0,0,0,FALSE,TRUE,"Jan 01, 2020",,PL042
COV084,PA-NONSTD-LIAB-ENH-PD,Non-Standard Auto Liability Vehicle Damage Coverage,"Covers enhanced repair or replacement exposure for covered vehicles, subject to plan terms and deductible rules.",2,PER_OCCURRENCE,FLAT,25000,1000000,250000,250,5000,500,0,0,FALSE,TRUE,"Jan 01, 2020",,PL042
COV085,PA-NONSTD-SR22-STD-LIAB,Non-Standard Financial Responsibility Filing Core Liability Coverage,"Provides standard third-party liability protection for covered auto claims, including bodily injury and property damage obligations.",1,COMBINED_SINGLE_LIMIT,FLAT,100000,5000000,500000,0,2500,0,0,0,FALSE,TRUE,"Jan 01, 2020",,PL043
COV086,PA-NONSTD-SR22-STD-PD,Non-Standard Financial Responsibility Filing Vehicle Damage Coverage,"Covers standard repair or replacement exposure for covered vehicles, subject to plan terms and deductible rules.",2,PER_OCCURRENCE,FLAT,25000,1000000,100000,250,5000,1000,0,0,FALSE,TRUE,"Jan 01, 2020",,PL043
COV087,PA-NONSTD-SR22-ENH-LIAB,Non-Standard Financial Responsibility Filing Core Liability Coverage,"Provides enhanced third-party liability protection for covered auto claims, including bodily injury and property damage obligations.",1,COMBINED_SINGLE_LIMIT,FLAT,100000,5000000,1000000,0,2500,0,0,0,FALSE,TRUE,"Jan 01, 2020",,PL044
COV088,PA-NONSTD-SR22-ENH-PD,Non-Standard Financial Responsibility Filing Vehicle Damage Coverage,"Covers enhanced repair or replacement exposure for covered vehicles, subject to plan terms and deductible rules.",2,PER_OCCURRENCE,FLAT,25000,1000000,250000,250,5000,500,0,0,FALSE,TRUE,"Jan 01, 2020",,PL044
COV089,PA-MULTI-LIAB-STD-LIAB,Multi-Vehicle Liability Core Liability Coverage,"Provides standard third-party liability protection for covered auto claims, including bodily injury and property damage obligations.",1,COMBINED_SINGLE_LIMIT,FLAT,100000,5000000,500000,0,2500,0,0,0,FALSE,TRUE,"Jan 01, 2020",,PL045
