"ProductName","Description","ProductCategory","SourceID_Merchant","PublisherID_Merchant","ProductStatus"
"Bed Sheet Set","Queen-size 300TC sheet set","Electronics","M700046","UI","ACTIVE"
"Mattress Topper","Memory foam mattress topper","Electronics","M700057","API","ACTIVE"
"Pillow Set","Orthopedic pillows","Electronics","M700094","UI","ACTIVE"
"Shampoo","Daily care shampoo 500ml","Car Care","M700067","API","ACTIVE"
"Conditioner","Moisturizing conditioner 500ml","Electronics","M700039","UI","ACTIVE"
"Face Cream","Anti-aging face cream","Electronics","M700056","UI","ACTIVE"
"Hand Soap","Liquid hand soap","Electronics","M700079","API","ACTIVE"
"Yoga Mat","Non-slip yoga mat","Electronics","M700012","API","DISCONTINUED"
"Dumbbell Set","Adjustable dumbbell set","Electronics","M700039","UI","ACTIVE"
"Treadmill X","Home treadmill with incline","Home & Garden","M700021","API","ACTIVE"
"Exercise Bike","Stationary exercise bike","Electronics","M700054","UI","ACTIVE"
"Running Shoes","Lightweight running shoes","Running","M700019","UI","ACTIVE"
"Hiking Boots","Waterproof hiking boots","Hiking","M700088","UI","ACTIVE"
"Camping Tent","4-person camping tent","Camping","M700034","UI","INACTIVE"
"Sleeping Bag","Lightweight sleeping bag","Electronics","M700039","UI","ACTIVE"
"Fishing Rod","Graphite fishing rod","Fishing","M700023","UI","ACTIVE"
"BBQ Tools","Stainless steel BBQ toolset","Garden Tools","M700025","UI","ACTIVE"
"Board Game Party","Family board game","Party Supplies","M700010","UI","ACTIVE"
"Puzzle 1000","1000-piece jigsaw puzzle","Electronics","M700078","UI","DISCONTINUED"
"Children's Book","Illustrated children's storybook","Electronics","M700029","API","ACTIVE"
"Educational Toy STEM","STEM learning kit for kids","Educational Toys","M700036","API","INACTIVE"
"Model Airplane Kit","Build-it-yourself model airplane","Model Building","M700002","API","ACTIVE"
"Collectible Card Set","Limited edition card set","Car Care","M700028","UI","ACTIVE"
"Antique Vase","Decorative antique-style vase","Home Decor","M700069","UI","INACTIVE"
"Designer Scarf","Silk designer scarf","Car Care","M700021","API","INACTIVE"
"Handmade Mug","Ceramic handmade mug","Handmade","M700011","API","ACTIVE"
"Organic Tea","Assorted organic tea packs","Organic Foods","M700020","API","ACTIVE"
"Specialty Chocolate","Artisanal chocolate box","Specialty Foods","M700091","UI","ACTIVE"
"Gourmet Olive Oil","Extra virgin olive oil 500ml","Electronics","M700010","UI","ACTIVE"
"Pet Bed","Comfortable pet bed","Pet Supplies","M700083","UI","ACTIVE"
"Leash & Collar","Adjustable leash and collar","Electronics","M700024","UI","ACTIVE"
"Car Charger","Fast car charger USB-C","Car Care","M700049","API","DISCONTINUED"
"Motor Oil 5W-30","Engine oil 1L","Electronics","M700085","API","INACTIVE"
"Bike Helmet","Certified cycling helmet","Cycling","M700048","UI","ACTIVE"
"Kayak Paddle","Lightweight kayak paddle","Electronics","M700023","UI","ACTIVE"
"Snorkel Mask","Full-face snorkel mask","Electronics","M700019","UI","ACTIVE"
"Winter Jacket","Insulated winter jacket","Winter Sports","M700080","API","ACTIVE"
"Sunglasses Polarized","Polarized sunglasses","Sunglasses","M700089","UI","ACTIVE"
"Leather Wallet","Genuine leather bifold wallet","Electronics","M700078","UI","ACTIVE"
"Backpack Travel","Travel backpack 30L","Travel Accessories","M700007","API","ACTIVE"
"Luggage Set","3-piece luggage set","Luggage","M700098","UI","ACTIVE"
"Gift Card 50","Digital gift card $50","Car Care","M700072","API","INACTIVE"
"Subscription Box","Monthly subscription box","Subscription Services","M700021","API","ACTIVE"
"Online Course Basics","Digital course access","Digital Goods","M700073","API","ACTIVE"
"Consulting Hour","One-hour consulting session","Consulting Services","M700047","UI","INACTIVE"
"Event Ticket General","General admission ticket","Event Tickets","M700065","API","DISCONTINUED"
"Membership Annual","Annual membership","Electronics","M700075","UI","ACTIVE"
"Software License Pro","Perpetual software license","Pet Supplies","M700020","API","ACTIVE"
"Antivirus Subscription","1-year antivirus subscription","Subscription Services","M700034","UI","DISCONTINUED"
"Cloud Storage 1TB","Cloud storage plan 1TB","Electronics","M700029","API","INACTIVE"
"Website Template","Responsive website template","Electronics","M700023","UI","ACTIVE"
"SEO Audit Service","Professional SEO audit","Electronics","M700044","API","ACTIVE"
"Logo Design Package","Branding logo design","Electronics","M700098","UI","ACTIVE"
"Social Media Kit","Social media graphics pack","Books & Media","M700031","UI","DISCONTINUED"
"Email Marketing Setup","Email campaign setup service","Electronics","M700010","UI","ACTIVE"
"CRM Integration","Connector setup for CRM","Electronics","M700040","API","ACTIVE"
"Data Migration Service","Data migration consulting","Consulting Services","M700100","UI","ACTIVE"
"Analytics Dashboard","Custom analytics dashboard","Board Games","M700060","UI","ACTIVE"
"Custom Report","On-demand custom report","Electronics","M700055","API","DISCONTINUED"
"Premium Support","Priority support package","Electronics","M700063","UI","ACTIVE"
"Extended Warranty","3-year extended warranty","Electronics","M700041","UI","INACTIVE"
