machine_id,serial_number,type_model,manufacturer,year_of_manufacture,installation_date,machine_status,production_line,power_rating,maintenance_frequency,last_maintenance_date,next_scheduled_maintenance,warranty_expiry_date,asset_value,criticality_level,compliance_certifications,location_description,location_gps_coordinates,location_floor_zone,location_accessibility_level,location_environmental_conditions
11,UFVZ4W2M2E,Lathe-Pro-3000,XYZ,2021,01-01-2022,1,11,10.0,Monthly,24-07-2024,24-01-2025,01-01-2026,59439,1,ISO9001,Secondary Plant - main center - Turning Station,"48.7262,2.6504",Mezzanine,Restricted,Temp 18C- Humidity 36%
12,2Y1R6CWGZ5QFS,Lathe-Pro-3000,XYZ,2021,01-01-2022,1,12,10.5,Monthly,15-09-2024,15-01-2025,01-01-2026,61946,2,ISO14001,Secondary Plant - secondary center - Turning Station,"48.7359,2.6597",Floor 3,Unrestricted,Temp 19C- Humidity 37%
13,0RKN0IGFUJOY0U6,CNC-Mill-5000,XYZ,2021,01-01-2022,2,13,11.0,Monthly,14-06-2024,14-01-2025,01-01-2026,128292,3,ISO45001,Secondary Plant - right zone - Milling Center,"48.7383,2.6609",Mezzanine,Restricted,Temp 20C- Humidity 38%
14,I0D7TUBE73ONR0O,Packaging-Unit-PK250,XYZ,2021,01-01-2022,1,14,11.5,Monthly,09-08-2024,09-01-2025,01-01-2026,27759,1,ISO9001,Secondary Plant - left zone - Packaging Area,"48.7224,2.6533",Floor 3,Unrestricted,Temp 21C- Humidity 39%
15,6ZPPM2KYDJNFFR,Packaging-Unit-PK250,XYZ,2021,01-01-2022,1,15,12.0,Monthly,24-10-2024,24-01-2025,01-01-2026,29444,2,ISO14001,Secondary Plant - right zone - Packaging Area,"48.7319,2.6632",Ground Floor,Restricted,Temp 22C- Humidity 40%
16,SYDQQM9HH1KURIA,Drill-Press-X200,ACME,2022,01-01-2023,1,16,12.5,Monthly,08-10-2024,08-01-2025,01-01-2028,36239,1,ISO9001,Main building - main center - Drilling Station,"35.6229,139.7809",Floor 1,Unrestricted,Temp 23C- Humidity 41%
17,UMRHWEK65H,Plasma-Cutter-P150,ACME,2022,01-01-2023,1,17,13.0,Monthly,29-09-2024,29-01-2025,01-01-2028,56179,2,ISO14001,Main building - Q Zone - Cutting Station,"35.6228,139.8047",Mezzanine,Restricted,Temp 24C- Humidity 42%
18,BF44Q1FS74M,Welding-Robot-W500,ACME,2022,01-01-2023,2,18,13.5,Monthly,04-07-2024,04-07-2025,01-01-2028,106500,3,ISO45001,Plank building - R Zone - Welding Bay,"35.6202,139.8068",Floor 3,Unrestricted,Temp 25C- Humidity 43%
19,UB3EZYBI5YA,Drill-Press-X200,ACME,2022,01-01-2023,1,19,14.0,Monthly,23-07-2024,23-01-2025,01-01-2027,35641,1,ISO9001,Plank building - S Zone - Drilling Station,"35.6234,139.791",Mezzanine,Restricted,Temp 23C- Humidity 41%
20,VA7BLLVGOL5K6,Assembly-Station-A300,ACME,2022,01-01-2023,1,20,14.5,Monthly,08-10-2024,08-01-2025,01-01-2026,55240,2,ISO14001,Plank building - T Zone - Assembly Point,"35.6321,139.807",Ground Floor,Unrestricted,Temp 22C- Humidity 40%
21,HNPWYM42IEBE,Packaging-Unit-PK250,XYZ,2023,01-01-2024,1,21,15.0,Monthly,31-08-2024,31-01-2025,01-01-2028,34358,1,ISO9001,Main plant - U Zone - Packaging Area,"31.2113,121.5444",Floor 1,Restricted,Temp 21C- Humidity 39%
22,O9WP00Z30JAN2,Quality-Scanner-Q100,XYZ,2023,01-01-2024,1,22,15.5,Monthly,27-06-2024,27-01-2025,01-01-2028,39711,2,ISO14001,Main plant - V Zone - QC Checkpoint,"31.2099,121.5347",Floor 3,Unrestricted,Temp 20C- Humidity 38%
23,A6B1I5050T3Y7,Drill-Press-X200,XYZ,2023,01-01-2024,2,23,16.0,Monthly,10-10-2024,10-01-2025,01-01-2028,38889,3,ISO45001,Main plant - W Zone - Drilling Station,"31.2228,121.5397",Mezzanine,Restricted,Temp 19C- Humidity 37%
24,E3CSKMFIB4HOH4F,CNC-Mill-5000,XYZ,2023,01-01-2024,1,24,16.5,Monthly,23-07-2024,23-01-2025,01-01-2029,142728,1,ISO9001,Main plant - X Zone - Milling Center,"31.2172,121.5332",Floor 3,Unrestricted,Temp 18C- Humidity 36%
25,76SZBCTPYRLH1G,Packaging-Unit-PK250,XYZ,2023,01-01-2024,1,25,17.0,Monthly,08-09-2024,08-01-2025,01-01-2029,33335,2,ISO14001,Main plant - Y Zone - Packaging Area,"31.2118,121.5257",Ground Floor,Restricted,Temp 17C- Humidity 35%
