schedule_id,machine,maintenance_type,scheduled_date,performed_date,maintenance_provider,maintenance_cost,description_of_work
SCH-025,25,1,25-10-2024,25-11-2024,ACME,277,Sealing mechanism check and temperature calibration
SCH-026,9,2,02-10-2026,02-11-2026,ACME,680,Quarterly check
SCH-027,9,3,03-10-2026,03-11-2026,ACME,780,Condition-based check
SCH-028,10,1,04-10-2026,04-11-2026,XYZ,590,Monthly check
SCH-029,10,2,05-10-2026,05-11-2026,XYZ,690,Quarterly check
SCH-030,10,3,06-10-2026,06-11-2026,XYZ,790,Condition-based check
SCH-031,11,1,07-10-2026,07-11-2026,ACME,600,Monthly check
SCH-032,11,2,08-10-2026,08-11-2026,ACME,700,Quarterly check
SCH-033,11,3,09-10-2026,09-11-2026,ACME,800,Condition-based check
SCH-034,12,1,10-10-2026,10-11-2026,XYZ,610,Monthly check
SCH-035,12,2,11-10-2026,11-11-2026,XYZ,710,Quarterly check
SCH-036,12,3,12-10-2026,12-11-2026,XYZ,810,Condition-based check
SCH-037,13,1,01-10-2027,01-11-2027,ACME,620,Monthly check
SCH-038,13,2,02-10-2027,02-11-2027,ACME,720,Quarterly check
SCH-039,13,3,03-10-2027,03-11-2027,ACME,820,Condition-based check
SCH-040,14,1,04-10-2027,04-11-2027,XYZ,630,Monthly check
SCH-041,14,2,05-10-2027,05-11-2027,XYZ,730,Quarterly check
SCH-042,14,3,06-10-2027,06-11-2027,XYZ,830,Condition-based check
SCH-043,15,1,07-10-2027,07-11-2027,ACME,640,Monthly check
SCH-044,15,2,08-10-2027,08-11-2027,ACME,740,Quarterly check
SCH-045,15,3,09-10-2027,09-11-2027,ACME,840,Condition-based check
SCH-046,16,1,10-10-2027,10-11-2027,XYZ,650,Monthly check
SCH-047,16,2,11-10-2027,11-11-2027,XYZ,750,Quarterly check
SCH-048,16,3,12-10-2027,12-11-2027,XYZ,850,Condition-based check
SCH-049,17,1,01-10-2028,01-11-2028,ACME,660,Monthly check
SCH-050,17,2,02-10-2028,02-11-2028,ACME,760,Quarterly check
SCH-051,17,3,03-10-2028,03-11-2028,ACME,860,Condition-based check
SCH-052,18,1,04-10-2028,04-11-2028,XYZ,670,Monthly check
SCH-053,18,2,05-10-2028,05-11-2028,XYZ,770,Quarterly check
SCH-054,18,3,06-10-2028,06-11-2028,XYZ,870,Condition-based check
SCH-055,19,1,07-10-2028,07-11-2028,ACME,680,Monthly check
SCH-056,19,2,08-10-2028,08-11-2028,ACME,780,Quarterly check
SCH-057,19,3,09-10-2028,09-11-2028,ACME,880,Condition-based check
SCH-058,20,1,10-10-2028,10-11-2028,XYZ,690,Monthly check
SCH-059,20,2,11-10-2028,11-11-2028,XYZ,790,Quarterly check
SCH-060,20,3,12-10-2028,12-11-2028,XYZ,890,Condition-based check
SCH-061,21,1,01-10-2029,01-11-2029,ACME,700,Monthly check
SCH-062,21,2,02-10-2029,02-11-2029,ACME,800,Quarterly check
SCH-063,21,3,03-10-2029,03-11-2029,ACME,900,Condition-based check
SCH-064,22,1,04-10-2029,04-11-2029,XYZ,710,Monthly check
SCH-065,22,2,05-10-2029,05-11-2029,XYZ,810,Quarterly check
SCH-066,22,3,06-10-2029,06-11-2029,XYZ,910,Condition-based check
SCH-067,23,1,07-10-2029,07-11-2029,ACME,720,Monthly check
SCH-068,23,2,08-10-2029,08-11-2029,ACME,820,Quarterly check
SCH-069,23,3,09-10-2029,09-11-2029,ACME,920,Condition-based check
SCH-070,24,1,10-10-2029,10-11-2029,XYZ,730,Monthly check
SCH-071,24,2,11-10-2029,11-11-2029,XYZ,830,Quarterly check
SCH-072,24,3,12-10-2029,12-11-2029,XYZ,930,Condition-based check
SCH-073,25,1,01-10-2030,01-11-2030,ACME,740,Monthly check
SCH-074,25,2,02-10-2030,02-11-2030,ACME,840,Quarterly check
SCH-075,25,3,03-10-2030,03-11-2030,ACME,940,Condition-based check
