"PublisherID","SourceID","MaterialNumber","MaterialDescription","NormalizedMaterialDesc","SAPClient","SAPPlantScope","MaterialStatus","SafetyStock","ReorderPoint","LeadTimeDays","BatchManaged","SerialNumberProfile","CreatedOn","FID_BaseUOM","FID_IndustrySector","FID_MaterialGroup","FID_MaterialType","FID_ProcurementType","PublisherID_Product","SourceID_Product","FID_ValuationClass"
"PLM","MAT-000055","MAT-000055","EV Battery Module Series 02 manufacturing material","EV BATTERY MODULE SERIES 02 MANUFACTURING MATERIAL","100","US01","Active","30","40","6","true","NONE","2024-06-14","UOM-EA","IND-CP","MATGRP-AUTO","MTYPE-HAWA","PROC-X","SAPMDG","PRD-000055","VAL-3000"
"PLM","MAT-000056","MAT-000056","Recyclable Shipping Case Series 03 manufacturing material","RECYCLABLE SHIPPING CASE SERIES 03 MANUFACTURING MATERIAL","200","US02","Active","40","10","7","false","BATCH","2024-06-17","UOM-BOX","IND-MFG","MATGRP-PACK","MTYPE-FERT","PROC-K","SAPMDG","PRD-000056","VAL-7900"
"PLM","MAT-000057","MAT-000057","Wireless Headphones Series 04 manufacturing material","WIRELESS HEADPHONES SERIES 04 MANUFACTURING MATERIAL","300","DE01","Active","50","15","8","true","SER01","2024-06-20","UOM-EA","IND-RET","MATGRP-ELEC","MTYPE-HALB","PROC-E","SAPMDG","PRD-000057","VAL-7920"
"PLM","MAT-000058","MAT-000058","Industrial Sensor Series 05 manufacturing material","INDUSTRIAL SENSOR SERIES 05 MANUFACTURING MATERIAL","100","CN01","Active","60","20","9","false","SER02","2024-06-23","UOM-EA","IND-HC","MATGRP-ELEC","MTYPE-ROH","PROC-F","SAPMDG","PRD-000058","VAL-3100"
"PLM","MAT-000059","MAT-000059","Laptop Docking Station Series 06 manufacturing material","LAPTOP DOCKING STATION SERIES 06 MANUFACTURING MATERIAL","200","IN01","Active","70","25","10","false","NONE","2024-06-26","UOM-EA","IND-AUTO","MATGRP-ELEC","MTYPE-VERP","PROC-X","SAPMDG","PRD-000059","VAL-4000"
"PLM","MAT-000060","MAT-000060","Smart Air Purifier Series 07 manufacturing material","SMART AIR PURIFIER SERIES 07 MANUFACTURING MATERIAL","300","MX01","Active","80","30","11","true","BATCH","2024-06-29","UOM-EA","IND-CP","MATGRP-HOME","MTYPE-HAWA","PROC-K","SAPMDG","PRD-000060","VAL-5000"
"PLM","MAT-000061","MAT-000061","Sterile Procedure Kit Series 08 manufacturing material","STERILE PROCEDURE KIT SERIES 08 MANUFACTURING MATERIAL","100","US01","Active","90","35","12","false","SER01","2024-07-02","UOM-BOX","IND-MFG","MATGRP-MED","MTYPE-FERT","PROC-E","SAPMDG","PRD-000061","VAL-3000"
"PLM","MAT-000062","MAT-000062","Plant Maintenance Filter Series 09 manufacturing material","PLANT MAINTENANCE FILTER SERIES 09 MANUFACTURING MATERIAL","200","US02","Active","100","40","13","false","SER02","2024-07-05","UOM-EA","IND-RET","MATGRP-CONS","MTYPE-HALB","PROC-F","SAPMDG","PRD-000062","VAL-7900"
"PLM","MAT-000063","MAT-000063","EV Battery Module Series 01 manufacturing material","EV BATTERY MODULE SERIES 01 MANUFACTURING MATERIAL","300","DE01","Active","20","10","14","true","NONE","2024-07-08","UOM-EA","IND-HC","MATGRP-AUTO","MTYPE-ROH","PROC-X","SAPMDG","PRD-000063","VAL-7920"
"PLM","MAT-000064","MAT-000064","Recyclable Shipping Case Series 02 manufacturing material","RECYCLABLE SHIPPING CASE SERIES 02 MANUFACTURING MATERIAL","100","CN01","Phase Out","30","15","15","false","BATCH","2024-07-11","UOM-BOX","IND-AUTO","MATGRP-PACK","MTYPE-VERP","PROC-K","SAPMDG","PRD-000064","VAL-3100"
"PLM","MAT-000065","MAT-000065","Wireless Headphones Series 03 manufacturing material","WIRELESS HEADPHONES SERIES 03 MANUFACTURING MATERIAL","200","IN01","Active","40","20","16","false","SER01","2024-07-14","UOM-EA","IND-CP","MATGRP-ELEC","MTYPE-HAWA","PROC-E","SAPMDG","PRD-000065","VAL-4000"
"PLM","MAT-000066","MAT-000066","Industrial Sensor Series 04 manufacturing material","INDUSTRIAL SENSOR SERIES 04 MANUFACTURING MATERIAL","300","MX01","Active","50","25","17","true","SER02","2024-07-17","UOM-EA","IND-MFG","MATGRP-ELEC","MTYPE-FERT","PROC-F","SAPMDG","PRD-000066","VAL-5000"
"PLM","MAT-000067","MAT-000067","Laptop Docking Station Series 05 manufacturing material","LAPTOP DOCKING STATION SERIES 05 MANUFACTURING MATERIAL","100","US01","Active","60","30","18","false","NONE","2024-07-20","UOM-EA","IND-RET","MATGRP-ELEC","MTYPE-HALB","PROC-X","SAPMDG","PRD-000067","VAL-3000"
"PLM","MAT-000068","MAT-000068","Smart Air Purifier Series 06 manufacturing material","SMART AIR PURIFIER SERIES 06 MANUFACTURING MATERIAL","200","US02","Active","70","35","19","false","BATCH","2024-07-23","UOM-EA","IND-HC","MATGRP-HOME","MTYPE-ROH","PROC-K","SAPMDG","PRD-000068","VAL-7900"
"PLM","MAT-000069","MAT-000069","Sterile Procedure Kit Series 07 manufacturing material","STERILE PROCEDURE KIT SERIES 07 MANUFACTURING MATERIAL","300","DE01","Active","80","40","20","true","SER01","2024-07-26","UOM-BOX","IND-AUTO","MATGRP-MED","MTYPE-VERP","PROC-E","SAPMDG","PRD-000069","VAL-7920"
"PLM","MAT-000070","MAT-000070","Plant Maintenance Filter Series 08 manufacturing material","PLANT MAINTENANCE FILTER SERIES 08 MANUFACTURING MATERIAL","100","CN01","Active","90","10","21","false","SER02","2024-07-29","UOM-EA","IND-CP","MATGRP-CONS","MTYPE-HAWA","PROC-F","SAPMDG","PRD-000070","VAL-3100"
"PLM","MAT-000071","MAT-000071","EV Battery Module Series 09 manufacturing material","EV BATTERY MODULE SERIES 09 MANUFACTURING MATERIAL","200","IN01","Active","100","15","22","true","NONE","2024-08-01","UOM-EA","IND-MFG","MATGRP-AUTO","MTYPE-FERT","PROC-X","SAPMDG","PRD-000071","VAL-4000"
"PLM","MAT-000072","MAT-000072","Recyclable Shipping Case Series 01 manufacturing material","RECYCLABLE SHIPPING CASE SERIES 01 MANUFACTURING MATERIAL","300","MX01","Active","20","20","5","true","BATCH","2024-08-04","UOM-BOX","IND-RET","MATGRP-PACK","MTYPE-HALB","PROC-K","SAPMDG","PRD-000072","VAL-5000"
"PLM","MAT-000073","MAT-000073","Wireless Headphones Series 02 manufacturing material","WIRELESS HEADPHONES SERIES 02 MANUFACTURING MATERIAL","100","US01","Active","30","25","6","false","SER01","2024-08-07","UOM-EA","IND-HC","MATGRP-ELEC","MTYPE-ROH","PROC-E","SAPMDG","PRD-000073","VAL-3000"
"PLM","MAT-000074","MAT-000074","Industrial Sensor Series 03 manufacturing material","INDUSTRIAL SENSOR SERIES 03 MANUFACTURING MATERIAL","200","US02","Active","40","30","7","false","SER02","2024-08-10","UOM-EA","IND-AUTO","MATGRP-ELEC","MTYPE-VERP","PROC-F","SAPMDG","PRD-000074","VAL-7900"
"PLM","MAT-000075","MAT-000075","Laptop Docking Station Series 04 manufacturing material","LAPTOP DOCKING STATION SERIES 04 MANUFACTURING MATERIAL","300","DE01","Active","50","35","8","true","NONE","2024-08-13","UOM-EA","IND-CP","MATGRP-ELEC","MTYPE-HAWA","PROC-X","SAPMDG","PRD-000075","VAL-7920"
"PLM","MAT-000076","MAT-000076","Smart Air Purifier Series 05 manufacturing material","SMART AIR PURIFIER SERIES 05 MANUFACTURING MATERIAL","100","CN01","Active","60","40","9","false","BATCH","2024-08-16","UOM-EA","IND-MFG","MATGRP-HOME","MTYPE-FERT","PROC-K","SAPMDG","PRD-000076","VAL-3100"
"PLM","MAT-000077","MAT-000077","Sterile Procedure Kit Series 06 manufacturing material","STERILE PROCEDURE KIT SERIES 06 MANUFACTURING MATERIAL","200","IN01","Active","70","10","10","false","SER01","2024-08-19","UOM-BOX","IND-RET","MATGRP-MED","MTYPE-HALB","PROC-E","SAPMDG","PRD-000077","VAL-4000"
"PLM","MAT-000078","MAT-000078","Plant Maintenance Filter Series 07 manufacturing material","PLANT MAINTENANCE FILTER SERIES 07 MANUFACTURING MATERIAL","300","MX01","Active","80","15","11","true","SER02","2024-08-22","UOM-EA","IND-HC","MATGRP-CONS","MTYPE-ROH","PROC-F","SAPMDG","PRD-000078","VAL-5000"
"PLM","MAT-000079","MAT-000079","EV Battery Module Series 08 manufacturing material","EV BATTERY MODULE SERIES 08 MANUFACTURING MATERIAL","100","US01","Active","90","20","12","true","NONE","2024-08-25","UOM-EA","IND-AUTO","MATGRP-AUTO","MTYPE-VERP","PROC-X","SAPMDG","PRD-000079","VAL-3000"
"PLM","MAT-000080","MAT-000080","Recyclable Shipping Case Series 09 manufacturing material","RECYCLABLE SHIPPING CASE SERIES 09 MANUFACTURING MATERIAL","200","US02","Phase Out","100","25","13","false","BATCH","2024-08-28","UOM-BOX","IND-CP","MATGRP-PACK","MTYPE-HAWA","PROC-K","SAPMDG","PRD-000080","VAL-7900"
